Posição,Time,Pontos,Jogos,Vitórias,Empates,Derrotas,Gols Pró,Gols Contra,Saldo de Gols,Aproveitamento (%)
1,BOT,79,38,23,10,5,59,29,30,69
2,PAL,73,38,22,7,9,60,33,27,64
3,FLA,70,38,20,10,8,61,42,19,61
4,FOR,68,38,19,11,8,53,39,14,60
5,INT,65,38,18,11,9,53,36,17,57
6,SPA,59,38,17,8,13,53,43,10,52
7,COR,56,38,15,11,12,54,45,9,49
8,BAH,53,38,15,8,15,49,49,0,46
9,CRU,52,38,14,10,14,43,41,2,46
10,VAS,50,38,14,8,16,43,56,-13,44
11,VIT,47,38,13,8,17,45,52,-7,41
12,CAM,47,38,11,14,13,47,54,-7,41
13,FLU,46,38,12,10,16,33,39,-6,40
14,GRE,45,38,12,9,17,44,50,-6,39
15,JUV,45,38,11,12,15,48,59,-11,39
16,BRG,44,38,10,14,14,44,48,-4,39
17,CAP,42,38,11,9,18,40,46,-6,37
18,CRI,38,38,9,11,18,42,61,-19,33
19,ACG,30,38,7,9,22,29,58,-29,26
20,CUI,30,38,6,12,20,29,49,-20,26
